,date,contract,strike_price,op_fair_price,day,close,atr
298,2022-03-30,202204W1,17750.0,242.0,Wednesday,17741.0,249.14439750719333
299,2022-03-31,202204W1,17650.0,212.0,Thursday,17639.0,242.13408339953665
300,2022-04-01,202204W1,17550.0,206.0,Friday,17554.0,240.91022029956974
301,2022-04-06,202204W2,17500.0,287.0,Wednesday,17506.0,239.91663313531475
302,2022-04-07,202204W2,17150.0,318.0,Thursday,17143.0,250.13687362564943
303,2022-04-08,202204W2,17300.0,267.0,Friday,17316.0,244.7699540809602
304,2022-04-11,202204W2,17050.0,332.0,Monday,17039.0,251.57210021803445
305,2022-04-12,202204W2,17000.0,168.0,Tuesday,16999.0,245.17409305960342
306,2022-04-13,202204,17300.0,490.0,Wednesday,17316.0,250.66165784106033
307,2022-04-14,202204,17300.0,275.0,Thursday,17298.0,239.97153942384173
308,2022-04-15,202204,17000.0,203.0,Friday,16983.0,246.97357232213875
309,2022-04-18,202204,16900.0,198.0,Monday,16881.0,242.3326028705574
310,2022-04-19,202204,17000.0,153.0,Tuesday,17000.0,242.23741695123186
311,2022-04-20,202204W4,17050.0,306.0,Wednesday,17071.0,234.29188716900103
312,2022-04-21,202204W4,17150.0,272.0,Thursday,17126.0,228.3424666569295
313,2022-04-22,202204W4,17000.0,231.0,Friday,16992.0,233.67514761000598
314,2022-04-25,202204W4,16550.0,186.0,Monday,16572.0,251.55549420929128
315,2022-04-26,202204W4,16600.0,132.0,Tuesday,16586.0,242.87295890862762
316,2022-04-27,202205W1,16300.0,368.0,Wednesday,16285.0,255.95346184372565
317,2022-04-28,202205W1,16400.0,304.0,Thursday,16387.0,251.67107171203094
318,2022-04-29,202205W1,16600.0,254.0,Friday,16583.0,251.40885230402873
319,2022-05-03,202205W1,16450.0,184.0,Tuesday,16470.0,244.09393428231238
320,2022-05-04,202205W2,16500.0,357.0,Wednesday,16519.0,235.1586532621472
321,2022-05-05,202205W2,16700.0,293.0,Thursday,16684.0,236.7187494577081
322,2022-05-06,202205W2,16350.0,298.0,Friday,16355.0,249.66741021072897
323,2022-05-09,202205W2,16050.0,172.5,Monday,16027.0,256.11973805281974
324,2022-05-10,202205W2,16050.0,262.0,Tuesday,16039.0,260.32547104904694
325,2022-05-11,202205,16000.0,377.0,Wednesday,16010.0,252.51650883125788
326,2022-05-12,202205,15650.0,359.0,Thursday,15632.0,263.19390105759663
327,2022-05-13,202205,15850.0,218.0,Friday,15851.0,260.2514795534826
328,2022-05-16,202205,15900.0,237.0,Monday,15921.0,255.73351672823387
329,2022-05-17,202205,16100.0,264.0,Tuesday,16075.0,249.96683696193145
330,2022-05-18,202205W4,16200.0,317.0,Wednesday,16196.0,243.11206289322203
331,2022-05-19,202205W4,15900.0,364.0,Thursday,15911.0,252.60405840084903
332,2022-05-20,202205W4,16150.0,316.0,Friday,16135.0,251.27519708650266
333,2022-05-23,202205W4,16150.0,190.0,Monday,16147.0,246.6841115803239
334,2022-05-24,202205W4,15950.0,423.0,Tuesday,15926.0,246.34953218172933
